Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
25103,11/23/10 17:35,Tuesday,Auto,Pedestrian,,Cardinal Medeiros Ave,Hampshire St," Cardinal Medeiros Ave & Hampshire St Cambridge, MA",42.366289,-71.091796,
25126,11/29/10 19:15,Monday,Auto,Pedestrian,,Cambridge St,ELLERY ST," Cambridge St & ELLERY ST Cambridge, MA",42.374698,-71.108336,
25131,11/30/10 7:50,Tuesday,Auto,Pedestrian,,Broadway,Trowbridge St," Broadway & Trowbridge St Cambridge, MA",42.373196,-71.110836,
25140,12/1/10 17:20,Wednesday,Auto,Pedestrian,,Cambridge St,IRVING ST," Cambridge St & IRVING ST Cambridge, MA",42.375056,-71.1111,
25167,12/7/10 17:35,Tuesday,Auto,Pedestrian,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,
25168,12/7/10 9:42,Tuesday,Auto,Pedestrian,225,Hampshire St,Cambridge St,"225 Hampshire St Cambridge, MA",42.373871,-71.100838,
25180,12/10/10 7:30,Friday,Auto,Pedestrian,16,HARVARD ST,,"16 HARVARD ST Cambridge, MA",42.364808,-71.092666,
25213,12/14/10 20:33,Tuesday,Auto,Pedestrian,,Cambridge St,Dana St," Cambridge St & Dana St Cambridge, MA",42.374529,-71.107034,
25230,12/20/10 11:39,Monday,Auto,Pedestrian,600,Massachusetts Ave,,"600 Massachusetts Ave Cambridge, MA",42.36492,-71.103228,
25623,1/2/11 21:04,Saturday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St," Massachusetts Ave & Norfolk St Cambridge, MA",42.364424,-71.102083,
25293,1/5/11 16:44,Wednesday,Motorcycle,Pedestrian,,Massachusetts Ave,Amherst St," Massachusetts Ave & Amherst St Cambridge, MA",42.358188,-71.093089,
25302,1/7/11 8:49,Friday,Auto,Pedestrian,,Broadway,PROSPECT ST," Broadway & PROSPECT ST Cambridge, MA",42.369317,-71.101021,
